path,bytes,sha256
data\processed\qy_v3\abstained_samples.jsonl,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
data\processed\qy_v3\generations_v3.jsonl,6504261,07c41ea5bea78cf6b051abaeec6e5767db1fc148f388896c6443e80f07b97e70
data\processed\qy_v3\generations_v3_manifest.jsonl,838410,e4bcae323024d10b395cf3f41080346598c5d8c1ab31b34237a88908025a9acd
data\processed\qy_v3\input_freeze.json,568,53e5f8a1f7c9ffb5d9e0ddfbcff6137691f89db35743dfcf4cb0716bf828be43
data\processed\qy_v3\judged_pairs_v3.jsonl,6855976,d369a6414ae7762e022219cbcccefa6173c978546e99338433167a65e706cb68
data\processed\qy_v3\pair_label_manifest.jsonl,816027,d4d2aa093fc9ec346a245bdf98446de9ec4f89333fa55c0a9b7ee2f3f0fbba19
data\processed\qy_v3\prompt_assets_v3_manifest.jsonl,173789,de2416d0efc1c9fff84e4239383b1e5882fad2b2c67ac175949d043b7a34335a
data\processed\qy_v3\semantic_cluster_manifest.jsonl,163537,87c95e87c1498738af09c1aa624cf8000d5528297ef8388635c91ce3ab796151
data\processed\qy_v3\split_manifest.jsonl,795679,e4df66b943f7b215cf47a1fd9dd132a62827b886fa32c052a3df32dc5ce90473
outputs\data_judge_gate_v2_1\data_judge_gate_v2_1\generations_v3_manifest.jsonl,838410,e4bcae323024d10b395cf3f41080346598c5d8c1ab31b34237a88908025a9acd
outputs\data_judge_gate_v2_1\data_judge_gate_v2_1\git_commit.txt,42,5de22dcf5b3272f6ec82142bfcdc0a35d6bc325585cafdb421ffe7243b280257
outputs\data_judge_gate_v2_1\data_judge_gate_v2_1\git_status_porcelain.txt,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
outputs\data_judge_gate_v2_1\data_judge_gate_v2_1\guard_language_audit.csv,56,eaf7dc12fb9d67b90710c85f9288d55e8cf875d1660614268c169480fc575ddd
outputs\data_judge_gate_v2_1\data_judge_gate_v2_1\guard_model_lock.yaml,407,f4bc5a45d7a183ea61d20abe37d27425de7b2891fec38ae3563e558361f82d06
outputs\data_judge_gate_v2_1\data_judge_gate_v2_1\guard_pairwise_agreement.csv,158,9dd6cacd16baa85907cd5fcbc13e7892d1a7755e187654896805b0eb5ff8d757
outputs\data_judge_gate_v2_1\data_judge_gate_v2_1\guard_prompt_templates\polyguard_proxy.txt,141,ee79c5d8719cb9e460b96cdaae929e348bd05b9c944f5e3078dc1b51b9baf7a6
outputs\data_judge_gate_v2_1\data_judge_gate_v2_1\guard_prompt_templates\qwen3guard_proxy.txt,141,ee79c5d8719cb9e460b96cdaae929e348bd05b9c944f5e3078dc1b51b9baf7a6
outputs\data_judge_gate_v2_1\data_judge_gate_v2_1\guard_prompt_templates\wildguard_proxy.txt,141,ee79c5d8719cb9e460b96cdaae929e348bd05b9c944f5e3078dc1b51b9baf7a6
outputs\data_judge_gate_v2_1\data_judge_gate_v2_1\guard_public_gold_metrics.csv,221,363392e991bc27675a816a0b4ceddda6e0fc743a0ae414ef44ea4fe02f9fa71b
outputs\data_judge_gate_v2_1\data_judge_gate_v2_1\guard_raw_outputs\polyguard_proxy.jsonl,710304,46764062dbfd03deea18d516df41916aa5b55bb64361de9b40ccfe51e3994087
outputs\data_judge_gate_v2_1\data_judge_gate_v2_1\guard_raw_outputs\qwen3guard_proxy.jsonl,707552,d9e76147cd383a804fb1efabeedbd96505ca578ff43d52372a0fe4e52868162e
outputs\data_judge_gate_v2_1\data_judge_gate_v2_1\guard_raw_outputs\wildguard_proxy.jsonl,693406,8791fe2dc6c3d74b2e4ba50413225b6420a97f4a58510f9f4d9ce6ec6e7f8109
outputs\data_judge_gate_v2_1\data_judge_gate_v2_1\input_freeze.json,568,53e5f8a1f7c9ffb5d9e0ddfbcff6137691f89db35743dfcf4cb0716bf828be43
outputs\data_judge_gate_v2_1\data_judge_gate_v2_1\judged_pairs_v3.jsonl,6855976,d369a6414ae7762e022219cbcccefa6173c978546e99338433167a65e706cb68
outputs\data_judge_gate_v2_1\data_judge_gate_v2_1\pair_label_manifest.jsonl,816027,d4d2aa093fc9ec346a245bdf98446de9ec4f89333fa55c0a9b7ee2f3f0fbba19
outputs\data_judge_gate_v2_1\data_judge_gate_v2_1\prompt_assets_v3_manifest.jsonl,173789,de2416d0efc1c9fff84e4239383b1e5882fad2b2c67ac175949d043b7a34335a
outputs\data_judge_gate_v2_1\data_judge_gate_v2_1\semantic_cluster_manifest.jsonl,163537,87c95e87c1498738af09c1aa624cf8000d5528297ef8388635c91ce3ab796151
outputs\data_judge_gate_v2_1\data_judge_gate_v2_1\split_manifest.jsonl,795679,e4df66b943f7b215cf47a1fd9dd132a62827b886fa32c052a3df32dc5ce90473
