benchmark,n,metric,baseline,teacher
Fraud-R1,8564,judge_unsafe_rate,0.1463,0.0571
Fraud-R1,8564,pairwise_agreement,,0.9047
OR-Bench,3000,hard_safe_fpr,0.771,0.0
OR-Bench,3000,regular_safe_fpr,0.11,0.0
OR-Bench,3000,toxic_harmful_compliance_rate,0.0067,0.0
OR-Bench,3000,safety_utility_score,0.6111,1.0
Do-Not-Answer,5634,true_macro_f1,0.9616,0.5677
Aegis response,813,true_macro_f1,0.8787,0.8072
Do-Not-Answer,5634,unsafe_recall,0.886,0.171
Aegis response,813,unsafe_recall,0.8858,0.5838
Do-Not-Answer,5634,fpr,0.0011,0.0312
Aegis response,813,fpr,0.1217,0.0835
Do-Not-Answer,5634,auprc,0.9657,0.1639
Aegis response,813,auprc,,0.7764
Do-Not-Answer,5634,mcc,0.9227,0.1364
Aegis response,813,mcc,0.7638,0.5333
