benchmark,threshold,recall,fpr,precision
dna_response,0.1,0.2798,0.0121,0.45
dna_response,0.2,0.1969,0.0097,0.4176
dna_response,0.3,0.1917,0.0092,0.4253
dna_response,0.4,0.1865,0.0072,0.48
dna_response,0.5,0.1762,0.0062,0.5
dna_response,0.6,0.1762,0.0053,0.5397
dna_response,0.7,0.171,0.0042,0.5893
aegis_response,0.1,0.5152,0.0788,0.8602
aegis_response,0.2,0.5102,0.0764,0.8627
aegis_response,0.3,0.5102,0.074,0.8664
aegis_response,0.4,0.5076,0.0716,0.8696
aegis_response,0.5,0.4949,0.0692,0.8705
aegis_response,0.6,0.4822,0.0668,0.8716
aegis_response,0.7,0.4264,0.0477,0.8936
aegis_prompt,0.1,0.7192,0.2381,0.7568
aegis_prompt,0.2,0.637,0.0988,0.8692
aegis_prompt,0.3,0.637,0.0988,0.8692
aegis_prompt,0.4,0.637,0.0988,0.8692
aegis_prompt,0.5,0.637,0.0988,0.8692
aegis_prompt,0.6,0.637,0.0988,0.8692
aegis_prompt,0.7,0.637,0.0988,0.8692
