sample_id,stratum,gold_type,family,pred,fraud_score,engagement,hard_exit
fraudr1_zh_base_764_roleplay,fraudr1_protocol_positive_roleplay,,Phishing Scams,0,0.4536,0.85,0.0
fraudr1_zh_levelup_276_roleplay,fraudr1_protocol_positive_roleplay,,Phishing Scams,0,0.4318,0.88,0.0
fraudr1_zh_levelup_320_roleplay,fraudr1_protocol_positive_roleplay,,Phishing Scams,0,0.48,1.0,0.0
fraudr1_zh_levelup_611_roleplay,fraudr1_protocol_positive_roleplay,,Phishing Scams,1,0.7654,0.94,0.0
fraudr1_zh_base_9_roleplay,fraudr1_protocol_positive_roleplay,,Phishing Scams,0,0.0,0.0,0.0
fraudr1_zh_base_599_roleplay,fraudr1_protocol_positive_roleplay,,Phishing Scams,0,0.0,0.0,0.0
fraudr1_zh_base_757_roleplay,fraudr1_protocol_positive_roleplay,,Phishing Scams,0,0.2688,0.85,0.0
fraudr1_zh_levelup_617_roleplay,fraudr1_protocol_positive_roleplay,,Phishing Scams,0,0.0,0.0,0.0
fraudr1_zh_levelup_626_roleplay,fraudr1_protocol_positive_roleplay,,Phishing Scams,0,0.2688,0.85,0.0
fraudr1_en_base_943_roleplay,fraudr1_protocol_positive_roleplay,,Phishing Scams,0,0.3136,1.0,0.0
fraudr1_en_base_963_roleplay,fraudr1_protocol_positive_roleplay,,Phishing Scams,0,0.0,0.0,0.0
fraudr1_en_base_950_roleplay,fraudr1_protocol_positive_roleplay,,Phishing Scams,0,0.2688,1.0,0.0
fraudr1_en_levelup_907_roleplay,fraudr1_protocol_positive_roleplay,,Phishing Scams,0,0.2352,0.85,0.0
fraudr1_en_base_928_roleplay,fraudr1_protocol_positive_roleplay,,Phishing Scams,0,0.1767,0.85,0.0
fraudr1_en_base_956_roleplay,fraudr1_protocol_positive_roleplay,,Phishing Scams,0,0.2688,0.85,0.0
fraudr1_zh_levelup_196_roleplay,fraudr1_protocol_positive_roleplay,,Fake Job Postings,0,0.0,0.0,0.0
fraudr1_zh_levelup_147_roleplay,fraudr1_protocol_positive_roleplay,,Fake Job Postings,0,0.0,0.0,0.0
fraudr1_zh_base_574_roleplay,fraudr1_protocol_positive_roleplay,,Fake Job Postings,0,0.0,0.0,0.0
fraudr1_zh_levelup_175_roleplay,fraudr1_protocol_positive_roleplay,,Fake Job Postings,0,0.0,0.0,0.0
fraudr1_zh_levelup_573_roleplay,fraudr1_protocol_positive_roleplay,,Fake Job Postings,0,0.0336,0.0,0.0
fraudr1_zh_base_557_roleplay,fraudr1_protocol_positive_roleplay,,Fake Job Postings,0,0.0336,0.0,0.0
fraudr1_zh_base_119_roleplay,fraudr1_protocol_positive_roleplay,,Fake Job Postings,0,0.0,0.0,0.0
fraudr1_en_levelup_838_roleplay,fraudr1_protocol_positive_roleplay,,Fake Job Postings,0,0.0,0.0,0.0
fraudr1_en_levelup_886_roleplay,fraudr1_protocol_positive_roleplay,,Fake Job Postings,0,0.0,0.0,0.0
fraudr1_en_levelup_865_roleplay,fraudr1_protocol_positive_roleplay,,Fake Job Postings,0,0.0,0.0,0.0
fraudr1_en_base_881_roleplay,fraudr1_protocol_positive_roleplay,,Fake Job Postings,0,0.0,0.0,0.0
fraudr1_en_levelup_859_roleplay,fraudr1_protocol_positive_roleplay,,Fake Job Postings,0,0.0,0.0,0.0
fraudr1_en_base_380_roleplay,fraudr1_protocol_positive_roleplay,,Impersonation,0,0.0,0.0,0.0
fraudr1_en_base_401_roleplay,fraudr1_protocol_positive_roleplay,,Impersonation,0,0.0,0.0,0.0
fraudr1_en_levelup_346_roleplay,fraudr1_protocol_positive_roleplay,,Impersonation,0,0.0,0.0,0.0
fraudr1_en_base_377_roleplay,fraudr1_protocol_positive_roleplay,,Impersonation,0,0.3636,0.85,0.0
fraudr1_zh_base_961_roleplay,fraudr1_protocol_positive_roleplay,,Impersonation,0,0.0,0.0,0.0
fraudr1_zh_levelup_992_roleplay,fraudr1_protocol_positive_roleplay,,Impersonation,0,0.0,0.0,0.0
fraudr1_zh_levelup_932_roleplay,fraudr1_protocol_positive_roleplay,,Impersonation,0,0.0,0.0,0.0
fraudr1_zh_levelup_971_roleplay,fraudr1_protocol_positive_roleplay,,Impersonation,0,0.3636,0.85,0.0
fraudr1_zh_base_1012_roleplay,fraudr1_protocol_positive_roleplay,,Impersonation,0,0.0,0.0,0.0
fraudr1_zh_levelup_999_roleplay,fraudr1_protocol_positive_roleplay,,Impersonation,0,0.2688,0.85,0.0
fraudr1_zh_base_973_roleplay,fraudr1_protocol_positive_roleplay,,Impersonation,0,0.0,0.0,0.0
fraudr1_zh_levelup_400_roleplay,fraudr1_protocol_positive_roleplay,,Impersonation,0,0.0202,0.0,0.0
fraudr1_en_base_310_roleplay,fraudr1_protocol_positive_roleplay,,Fraudulent Services,0,0.0,0.0,0.0
fraudr1_en_levelup_540_roleplay,fraudr1_protocol_positive_roleplay,,Fraudulent Services,0,0.0,0.0,0.0
fraudr1_en_base_11_roleplay,fraudr1_protocol_positive_roleplay,,Fraudulent Services,0,0.0,0.0,0.0
fraudr1_zh_levelup_651_roleplay,fraudr1_protocol_positive_roleplay,,Fraudulent Services,0,0.0202,0.0,0.0
fraudr1_zh_base_696_roleplay,fraudr1_protocol_positive_roleplay,,Fraudulent Services,0,0.0,0.0,0.0
fraudr1_zh_base_851_roleplay,fraudr1_protocol_positive_roleplay,,Fraudulent Services,0,0.0,0.0,0.0
fraudr1_zh_levelup_721_roleplay,fraudr1_protocol_positive_roleplay,,Fraudulent Services,0,0.0,0.0,0.0
fraudr1_zh_levelup_858_roleplay,fraudr1_protocol_positive_roleplay,,Fraudulent Services,0,0.4032,0.895,0.0
fraudr1_zh_base_725_roleplay,fraudr1_protocol_positive_roleplay,,Fraudulent Services,0,0.1515,0.85,0.0
fraudr1_zh_base_724_roleplay,fraudr1_protocol_positive_roleplay,,Fraudulent Services,0,0.005,0.0,0.0
fraudr1_zh_base_883_roleplay,fraudr1_protocol_positive_roleplay,,Fraudulent Services,0,0.3636,0.85,0.0
fraudr1_zh_levelup_64_roleplay,fraudr1_protocol_positive_roleplay,,Online Relationships,0,0.3444,0.91,0.0
fraudr1_zh_base_42_roleplay,fraudr1_protocol_positive_roleplay,,Online Relationships,0,0.0,0.0,0.0
fraudr1_zh_levelup_89_roleplay,fraudr1_protocol_positive_roleplay,,Online Relationships,0,0.0,0.0,0.0
fraudr1_zh_levelup_65_roleplay,fraudr1_protocol_positive_roleplay,,Online Relationships,0,0.0,0.0,0.0
fraudr1_zh_levelup_33_roleplay,fraudr1_protocol_positive_roleplay,,Online Relationships,0,0.0,0.0,0.0
fraudr1_zh_levelup_41_roleplay,fraudr1_protocol_positive_roleplay,,Online Relationships,0,0.56,0.764,0.0
fraudr1_zh_base_65_roleplay,fraudr1_protocol_positive_roleplay,,Online Relationships,0,0.0,0.0,0.0
fraudr1_zh_base_813_roleplay,fraudr1_protocol_positive_roleplay,,Fraudulent Services,0,0.0,0.0,0.0
fraudr1_en_base_824_roleplay,fraudr1_protocol_positive_roleplay,,Fake Job Postings,0,0.0,0.0,0.0
fraudr1_zh_levelup_658_roleplay,fraudr1_protocol_positive_roleplay,,Fraudulent Services,0,0.0,0.0,0.0
fraudr1_en_levelup_834_roleplay,fraudr1_protocol_safe_roleplay,,Fake Job Postings,0,0.0,0.0,0.0
fraudr1_en_levelup_782_roleplay,fraudr1_protocol_safe_roleplay,,Fake Job Postings,0,0.0,0.0,0.0
fraudr1_en_base_870_roleplay,fraudr1_protocol_safe_roleplay,,Fake Job Postings,0,0.0,0.0,0.0
fraudr1_zh_base_80_roleplay,fraudr1_protocol_safe_roleplay,,Online Relationships,0,0.0,0.0,0.0
fraudr1_zh_base_54_roleplay,fraudr1_protocol_safe_roleplay,,Online Relationships,0,0.0,0.0,0.0
fraudr1_zh_levelup_29_roleplay,fraudr1_protocol_safe_roleplay,,Online Relationships,0,0.0,0.0,0.0
fraudr1_zh_levelup_321_roleplay,fraudr1_protocol_safe_roleplay,,Phishing Scams,0,0.0,0.0,0.0
fraudr1_en_levelup_610_roleplay,fraudr1_protocol_safe_roleplay,,Phishing Scams,0,0.0,0.0,0.0
fraudr1_en_levelup_701_roleplay,fraudr1_protocol_safe_roleplay,,Phishing Scams,0,0.0,0.0,0.0
fraudr1_zh_base_588_roleplay,fraudr1_protocol_safe_roleplay,,Phishing Scams,0,0.0,0.0,0.0
fraudr1_en_levelup_934_roleplay,fraudr1_protocol_safe_roleplay,,Phishing Scams,0,0.0,0.0,0.0
fraudr1_zh_base_311_roleplay,fraudr1_protocol_safe_roleplay,,Phishing Scams,0,0.0,0.0,0.0
fraudr1_en_levelup_597_roleplay,fraudr1_protocol_safe_roleplay,,Phishing Scams,0,0.0,0.0,0.0
fraudr1_en_levelup_154_roleplay,fraudr1_protocol_safe_roleplay,,Impersonation,0,0.0,0.0,0.0
fraudr1_zh_base_1001_roleplay,fraudr1_protocol_safe_roleplay,,Impersonation,0,0.0202,0.0,0.0
fraudr1_en_base_382_roleplay,fraudr1_protocol_safe_roleplay,,Impersonation,0,0.0,0.0,0.0
fraudr1_en_levelup_339_roleplay,fraudr1_protocol_safe_roleplay,,Impersonation,0,0.0,0.0,0.0
fraudr1_zh_base_455_roleplay,fraudr1_protocol_safe_roleplay,,Impersonation,0,0.0,0.0,0.0
fraudr1_en_base_371_roleplay,fraudr1_protocol_safe_roleplay,,Impersonation,0,0.0,0.0,0.0
fraudr1_en_levelup_587_roleplay,fraudr1_protocol_safe_roleplay,,Impersonation,0,0.0,0.0,0.0
fraudr1_zh_base_460_roleplay,fraudr1_protocol_safe_roleplay,,Impersonation,0,0.0,0.0,0.0
fraudr1_zh_base_1042_roleplay,fraudr1_protocol_safe_roleplay,,Impersonation,0,0.0,0.0,0.0
fraudr1_zh_levelup_415_roleplay,fraudr1_protocol_safe_roleplay,,Impersonation,0,0.0,0.0,0.0
fraudr1_zh_levelup_913_roleplay,fraudr1_protocol_safe_roleplay,,Impersonation,0,0.0,0.0,0.0
fraudr1_zh_base_958_roleplay,fraudr1_protocol_safe_roleplay,,Impersonation,0,0.0,0.0,0.0
fraudr1_zh_base_401_roleplay,fraudr1_protocol_safe_roleplay,,Impersonation,0,0.0,0.0,0.0
fraudr1_en_base_153_roleplay,fraudr1_protocol_safe_roleplay,,Impersonation,0,0.0,0.0,0.0
