threshold,macro_f1,recall,fpr,specificity,feasible,relaxed_fpr_ok
0.0,0.3333,1.0,1.0,0.0,0,0
1.0,0.3576,0.0222,0.0,1.0,0,1
0.0,0.3333,1.0,1.0,0.0,0,0
0.0505,0.7195,0.5111,0.0444,0.9556,0,1
0.056,0.7246,0.5111,0.0333,0.9667,0,1
0.0725,0.7164,0.4889,0.0222,0.9778,0,1
0.145,0.7096,0.4778,0.0222,0.9778,0,1
0.369,0.7147,0.4778,0.0111,0.9889,0,1
0.392,0.7079,0.4667,0.0111,0.9889,0,1
0.4175,0.701,0.4556,0.0111,0.9889,0,1
0.4305,0.694,0.4444,0.0111,0.9889,0,1
0.448,0.687,0.4333,0.0111,0.9889,0,1
0.492,0.6799,0.4222,0.0111,0.9889,0,1
0.5,0.6654,0.4,0.0111,0.9889,0,1
0.501,0.6581,0.3889,0.0111,0.9889,0,1
0.504,0.6507,0.3778,0.0111,0.9889,0,1
0.534,0.6432,0.3667,0.0111,0.9889,0,1
0.567,0.6357,0.3556,0.0111,0.9889,0,1
0.6,0.628,0.3444,0.0111,0.9889,0,1
0.623,0.6171,0.3222,0.0,1.0,0,1
0.7,0.6092,0.3111,0.0,1.0,0,1
0.712,0.593,0.2889,0.0,1.0,0,1
0.8,0.5847,0.2778,0.0,1.0,0,1
0.8505,0.4958,0.1667,0.0,1.0,0,1
0.9,0.4564,0.1222,0.0,1.0,0,1
1.0,0.3576,0.0222,0.0,1.0,0,1
