threshold,macro_f1,recall,fpr,specificity,feasible
0.0,0.3333,1.0,1.0,0.0,0
1.0,0.3333,0.0,0.0,1.0,1
0.0,0.3333,1.0,1.0,0.0,0
0.2424,1.0,1.0,0.0,1.0,1
0.2688,0.975,0.95,0.0,1.0,1
0.2952,0.9499,0.9,0.0,1.0,1
0.3136,0.9246,0.85,0.0,1.0,1
0.4788,0.899,0.8,0.0,1.0,1
0.48,0.873,0.75,0.0,1.0,1
0.5292,0.8195,0.65,0.0,1.0,1
0.56,0.763,0.55,0.0,1.0,1
0.6804,0.7333,0.5,0.0,1.0,1
0.7654,0.7025,0.45,0.0,1.0,1
0.8075,0.6366,0.35,0.0,1.0,1
0.81,0.6011,0.3,0.0,1.0,1
0.855,0.4813,0.15,0.0,1.0,1
0.9,0.4357,0.1,0.0,1.0,1
0.95,0.3866,0.05,0.0,1.0,1
